0.0,"(496, 4, 500)","(496, 4, 500)","(496, 2, 498)"
0.01,"(495, 4, 499)","(496, 4, 500)","(495, 2, 497)"
0.02,"(495, 4, 499)","(495, 4, 499)","(494, 1, 495)"
0.03,"(493, 4, 497)","(495, 4, 499)","(495, 2, 497)"
0.04,"(489, 4, 493)","(495, 4, 499)","(495, 1, 496)"
0.05,"(470, 4, 474)","(495, 4, 499)","(495, 4, 499)"
0.06,"(438, 4, 442)","(495, 4, 499)","(495, 1, 496)"
0.07,"(416, 3, 419)","(495, 4, 499)","(494, 3, 497)"
0.08,"(344, 3, 347)","(495, 4, 499)","(495, 2, 497)"
0.09,"(280, 3, 283)","(495, 4, 499)","(495, 1, 496)"
0.1,"(200, 3, 203)","(495, 4, 499)","(494, 1, 495)"
0.11,"(148, 3, 151)","(495, 4, 499)","(495, 1, 496)"
0.12,"(96, 3, 99)","(495, 4, 499)","(495, 2, 497)"
0.13,"(77, 3, 80)","(495, 4, 499)","(494, 1, 495)"
0.14,"(62, 3, 65)","(495, 4, 499)","(495, 2, 497)"
0.15,"(46, 3, 49)","(495, 4, 499)","(495, 2, 497)"
0.16,"(36, 3, 39)","(494, 3, 497)","(493, 0, 493)"
0.17,"(29, 3, 32)","(492, 3, 495)","(494, 0, 494)"
0.18,"(27, 3, 30)","(486, 3, 489)","(490, 2, 492)"
0.19,"(23, 3, 26)","(468, 3, 471)","(485, 0, 485)"
0.2,"(22, 3, 25)","(454, 3, 457)","(479, 2, 481)"
0.21,"(18, 3, 21)","(427, 3, 430)","(461, 0, 461)"
0.22,"(18, 3, 21)","(404, 3, 407)","(461, 1, 462)"
0.23,"(18, 3, 21)","(365, 3, 368)","(451, 0, 451)"
0.24,"(18, 3, 21)","(336, 3, 339)","(436, 0, 436)"
0.25,"(17, 3, 20)","(307, 3, 310)","(422, 0, 422)"
0.26,"(15, 3, 18)","(276, 3, 279)","(402, 0, 402)"
0.27,"(15, 3, 18)","(243, 3, 246)","(388, 1, 389)"
0.28,"(13, 3, 16)","(224, 3, 227)","(361, 0, 361)"
0.29,"(13, 3, 16)","(201, 3, 204)","(334, 0, 334)"
0.3,"(12, 3, 15)","(173, 3, 176)","(308, 0, 308)"
0.31,"(12, 3, 15)","(134, 3, 137)","(289, 1, 290)"
0.32,"(12, 3, 15)","(110, 3, 113)","(273, 0, 273)"
0.33,"(12, 3, 15)","(95, 3, 98)","(261, 2, 263)"
0.34,"(12, 3, 15)","(81, 3, 84)","(248, 0, 248)"
0.35000000000000003,"(11, 3, 14)","(68, 3, 71)","(226, 0, 226)"
0.36,"(9, 3, 12)","(59, 3, 62)","(221, 0, 221)"
0.37,"(9, 3, 12)","(51, 3, 54)","(204, 0, 204)"
0.38,"(9, 3, 12)","(43, 3, 46)","(200, 0, 200)"
0.39,"(9, 3, 12)","(39, 3, 42)","(177, 0, 177)"
0.4,"(9, 3, 12)","(35, 3, 38)","(166, 0, 166)"
0.41000000000000003,"(9, 3, 12)","(32, 3, 35)","(140, 0, 140)"
0.42,"(9, 3, 12)","(26, 3, 29)","(129, 0, 129)"
0.43,"(9, 3, 12)","(25, 3, 28)","(111, 0, 111)"
0.44,"(9, 3, 12)","(20, 3, 23)","(102, 0, 102)"
0.45,"(9, 3, 12)","(17, 3, 20)","(88, 1, 89)"
0.46,"(9, 3, 12)","(16, 3, 19)","(82, 0, 82)"
0.47000000000000003,"(9, 3, 12)","(15, 3, 18)","(75, 0, 75)"
0.48,"(9, 3, 12)","(11, 3, 14)","(67, 0, 67)"
0.49,"(9, 3, 12)","(10, 3, 13)","(61, 0, 61)"
0.5,"(8, 3, 11)","(9, 3, 12)","(58, 1, 59)"
0.51,"(8, 3, 11)","(9, 3, 12)","(49, 0, 49)"
0.52,"(8, 3, 11)","(9, 3, 12)","(44, 1, 45)"
0.53,"(8, 3, 11)","(9, 3, 12)","(39, 0, 39)"
0.54,"(8, 3, 11)","(9, 3, 12)","(39, 0, 39)"
0.55,"(8, 3, 11)","(9, 3, 12)","(33, 0, 33)"
0.56,"(8, 3, 11)","(9, 3, 12)","(34, 0, 34)"
0.5700000000000001,"(8, 3, 11)","(8, 3, 11)","(35, 0, 35)"
0.58,"(8, 3, 11)","(8, 3, 11)","(29, 0, 29)"
0.59,"(8, 3, 11)","(8, 3, 11)","(28, 0, 28)"
0.6,"(8, 3, 11)","(7, 3, 10)","(25, 0, 25)"
0.61,"(7, 3, 10)","(6, 3, 9)","(24, 0, 24)"
0.62,"(7, 3, 10)","(6, 3, 9)","(22, 0, 22)"
0.63,"(7, 3, 10)","(6, 3, 9)","(16, 0, 16)"
0.64,"(7, 3, 10)","(6, 3, 9)","(16, 0, 16)"
0.65,"(6, 3, 9)","(6, 3, 9)","(15, 0, 15)"
0.66,"(6, 3, 9)","(6, 3, 9)","(14, 0, 14)"
0.67,"(5, 3, 8)","(5, 3, 8)","(12, 0, 12)"
0.68,"(5, 3, 8)","(4, 3, 7)","(13, 0, 13)"
0.6900000000000001,"(5, 3, 8)","(4, 3, 7)","(10, 0, 10)"
0.7000000000000001,"(5, 3, 8)","(4, 3, 7)","(11, 0, 11)"
0.71,"(5, 3, 8)","(4, 3, 7)","(11, 0, 11)"
0.72,"(5, 3, 8)","(4, 3, 7)","(11, 0, 11)"
0.73,"(4, 3, 7)","(4, 3, 7)","(10, 1, 11)"
0.74,"(4, 3, 7)","(3, 3, 6)","(12, 0, 12)"
0.75,"(4, 3, 7)","(3, 3, 6)","(11, 0, 11)"
0.76,"(4, 3, 7)","(2, 3, 5)","(10, 0, 10)"
0.77,"(4, 3, 7)","(2, 3, 5)","(12, 0, 12)"
0.78,"(4, 3, 7)","(2, 3, 5)","(12, 0, 12)"
0.79,"(3, 3, 6)","(2, 3, 5)","(12, 0, 12)"
0.8,"(3, 3, 6)","(2, 3, 5)","(10, 0, 10)"
0.81,"(3, 3, 6)","(2, 3, 5)","(8, 0, 8)"
0.8200000000000001,"(3, 3, 6)","(2, 3, 5)","(7, 0, 7)"
0.8300000000000001,"(2, 2, 4)","(2, 3, 5)","(9, 0, 9)"
0.84,"(2, 2, 4)","(2, 3, 5)","(9, 0, 9)"
0.85,"(2, 2, 4)","(2, 3, 5)","(9, 0, 9)"
0.86,"(2, 2, 4)","(2, 3, 5)","(7, 0, 7)"
0.87,"(2, 2, 4)","(2, 3, 5)","(8, 0, 8)"
0.88,"(2, 2, 4)","(2, 3, 5)","(7, 0, 7)"
0.89,"(2, 2, 4)","(2, 3, 5)","(8, 0, 8)"
0.9,"(2, 2, 4)","(2, 3, 5)","(8, 0, 8)"
0.91,"(2, 2, 4)","(2, 3, 5)","(7, 0, 7)"
0.92,"(2, 2, 4)","(2, 3, 5)","(9, 0, 9)"
0.93,"(2, 2, 4)","(2, 3, 5)","(8, 0, 8)"
0.9400000000000001,"(2, 2, 4)","(2, 3, 5)","(8, 0, 8)"
0.9500000000000001,"(2, 2, 4)","(2, 2, 4)","(7, 0, 7)"
0.96,"(2, 2, 4)","(2, 2, 4)","(6, 0, 6)"
0.97,"(2, 2, 4)","(2, 2, 4)","(7, 0, 7)"
0.98,"(2, 2, 4)","(2, 2, 4)","(7, 0, 7)"
0.99,"(2, 0, 2)","(2, 2, 4)","(8, 0, 8)"
1.0,"(2, 0, 2)","(2, 2, 4)","(7, 0, 7)"
